id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53576452,"Modern, bright & spacious 5 bdrm oasis in SF",4407928,Kathy,,Parkside,37.74492,-122.48678,Entire home/apt,280,30,7,22/12/2023,0.27,1,310,4,
9.74757E+17,Explore ocean beach and San Francisco Zoo 3BD/1BA,368616861,Lincoln,,Parkside,37.73981544,-122.5066154,Entire home/apt,205,2,3,04/01/2024,0.5,2,110,3,2023-008266STR
9.05265E+17,Lovely 3BR-2BA-Hot Tub- next to beach-W/Dryer,368616861,Lincoln,,Parkside,37.7392,-122.49834,Entire home/apt,280,2,2,28/09/2023,0.35,2,75,2,STR-0004624
25432375,"Private Lovely Suite in Sunset, Own Entry and Bath",188173660,Yijia,,Parkside,37.74411,-122.48976,Entire home/apt,138,1,130,02/01/2024,1.87,3,120,43,2023-008856STR
49563383,Blake & Sara's Sunset Home,23982718,Blake & Sara,,Outer Sunset,37.7595,-122.50489,Entire home/apt,185,30,4,07/10/2023,0.12,2,307,2,
48368087,Large Bright 2 Bedroom w L Deck & One Free Parking,339410138,Uni,,Outer Sunset,37.75552,-122.49595,Entire home/apt,169,2,85,10/01/2024,2.39,1,315,14,STR-0004874
8464365,Spacious room in a Noe Valley condo with a view,2846262,Sergio,,Noe Valley,37.75017,-122.44158,Private room,150,30,40,31/12/2023,0.6,4,143,7,2022-009457STR
4100473,Large Alamo Square One Bedroom apt,8860167,William,,Western Addition,37.774849,-122.436317,Entire home/apt,150,30,62,22/04/2023,0.55,2,314,1,City registration pending
42429868,#aQ15 Sunny room for 1-2 near Downtown (NobHill),267895362,Rocky,,Nob Hill,37.792,-122.41868,Private room,60,365,0,,,55,365,0,
23027174,Lower Pacific Height Fillmore 1-Bedroom Apartment,146450,Yajun,,Western Addition,37.78168488,-122.4380188,Entire home/apt,85,30,1,25/09/2023,0.18,1,85,1,
42408462,★ Amazing location: Russian Hill. 1br apartment,140872749,Antelope,,Russian Hill,37.79862,-122.41195,Entire home/apt,115,30,13,04/10/2023,0.27,3,215,3,
48341928,Potrero Hill 2BR w/ Sweeping Views.,248967671,Jen,,Potrero Hill,37.75974,-122.39655,Entire home/apt,140,30,8,03/12/2023,0.25,1,153,2,
21648684,Peaceful Place of Portola,156943235,Jay,,Bayview,37.72877,-122.39519,Entire home/apt,,30,6,09/02/2022,0.1,1,0,0,
21919621,Studio (ADA) at the Donatello near Union Square,47514427,Jeffrey & Susan & Bryce,,Downtown/Civic Center,37.78784,-122.41036,Private room,,2,31,09/08/2022,0.43,23,142,0,1031137
39053559,#aF15 Private room for 1-2 near Union Sq/Downtown,267895362,Rocky,,Nob Hill,37.79151,-122.41914,Private room,50,365,1,23/08/2021,0.03,55,126,0,
50547744,#lT1326 Twin Size private room @hacknsleep,267895362,Rocky,,Nob Hill,37.79083,-122.41759,Private room,47,365,0,,,55,363,0,
9.63838E+17,Stylish 2 Bedroom Condo near Iconic Painted Ladies,3590467,Tatiana,,Western Addition,37.77693,-122.43018,Entire home/apt,357,30,0,,,1,215,0,
9.53158E+17,Unique Gothic Home in Richmond District,387416621,Yana,,Inner Richmond,37.77872,-122.47531,Entire home/apt,398,3,6,26/02/2024,1.1,1,209,6,2023-005991STR
29488665,Spacious 1 BRD/1BA - CITY CENTER!,84370701,Marc & Elena,,Nob Hill,37.79117285,-122.4147253,Entire home/apt,90,30,3,28/02/2024,0.37,1,33,3,
1.01885E+18,Warm Atmosphere at SF Downtown,542041520,Allen,,Downtown/Civic Center,37.7884146,-122.4215935,Private room,150,2,0,,,342,280,0,Exempt
36153778,#F15 Full private room in NobHill @ hacknsleep,267895362,Rocky,,Nob Hill,37.79135,-122.41929,Private room,50,365,0,,,55,365,0,
6.14712E+17,Stunning Victorian home in the heart of Haight,12116341,Suzanne,,Haight Ashbury,37.77196,-122.44437,Entire home/apt,486,3,26,09/02/2024,1.2,1,229,12,1095100
7.61811E+17,Homely private room by GG Park,401581193,Gangqin,,Outer Sunset,37.7592,-122.47794,Private room,41,30,3,10/01/2024,0.28,5,205,3,
31017581,A Quiet Home after Exhilarating Day on the Bay.,20536324,Shannon,,West of Twin Peaks,37.73389,-122.45869,Private room,100,6,21,28/09/2023,0.33,2,90,3,STR-0004209
52901955,Full Bed Weekly,418905992,Urban,,Financial District,37.78939,-122.40611,Private room,88,7,66,12/01/2024,2.33,2,360,40,1127558
1.00392E+18,"Victorian flat in the heart of SF, private terrace",541454050,Angie,,Western Addition,37.77984,-122.43991,Entire home/apt,365,5,1,31/12/2023,0.44,2,209,1,2023-010140STR
38676315,#D15 Sunny room for 1-2 near Union Sq/Downtown,267895362,Rocky,,Nob Hill,37.79302,-122.42082,Private room,60,365,0,,,55,365,0,
7.943E+17,Hayes Valley Getaway,493650081,Ashley,,Western Addition,37.7744305,-122.4286668,Entire home/apt,250,30,0,,,1,268,0,
21679018,Eclectic midcentury/modern home w/ views & hottub!,6981196,Rajiv,,Bernal Heights,37.73504,-122.41401,Entire home/apt,,3,118,02/09/2023,1.65,1,0,4,City Registration Pending
7.60917E+17,Large Quiet SF 1 bd/1bt Apt for 2 month stay,101864785,Nasser,,Western Addition,37.77517234,-122.4282028,Entire home/apt,120,50,0,,,1,173,0,
7.25636E+17,Charming apartment in the heart of Haight-Ashbury,16554008,Fiorella,,Haight Ashbury,37.77128825,-122.4476502,Entire home/apt,197,2,5,12/12/2023,0.93,1,346,5,2023-008771STR
10829828,"Sunny, beautiful & spacious San Francisco home.",56076559,Deborah,,Presidio Heights,37.78301,-122.45865,Entire home/apt,800,4,63,29/12/2023,0.67,1,59,10,Pending Application
45383300,One bed one bath in a gorgeous loft in SF,11968934,Shayan,,South of Market,37.78929,-122.3898,Private room,112,30,5,23/07/2023,0.25,1,363,1,
7.65756E+17,Upscale Park View Room in San Francisco,224976669,Rebecca,,South of Market,37.77833,-122.39121,Private room,400,1,5,30/07/2023,0.38,4,357,4,Exempt
22277766,SF Artist Studio Home,5822506,Kelly + Ivan,,Excelsior,37.71603,-122.43722,Entire home/apt,,30,10,28/09/2018,0.14,1,0,0,City registration pending
22435235,Castro 4bd/2ba flat all yours,102598592,Luke,,Castro/Upper Market,37.7657,-122.43372,Entire home/apt,,30,0,,,1,0,0,City registration pending
6.37696E+17,Beautiful & bright apartment in heart of SF,1492535,Timothy,,Western Addition,37.77237,-122.42933,Entire home/apt,900,3,30,01/03/2024,1.46,1,25,26,2022-005212STR
1841832,Beautiful Immaculate Nob Hill Condo,3192044,AC And Linda,,Nob Hill,37.79424,-122.41493,Entire home/apt,82,30,197,01/03/2024,1.56,1,35,3,City registration pending
442397,OceanBeach 2bdrm2Bath FreeParking!,2198311,Marianne,,Outer Sunset,37.7587,-122.5088,Entire home/apt,325,4,154,24/11/2023,1.07,1,109,11,STR-0002072
40898375,1 Bedroom Suite in the Heart of Fisherman's Wharf,20704144,William,,Russian Hill,37.80594,-122.41966,Entire home/apt,215,2,51,28/02/2024,1.02,20,1,13,Exempt
1.09014E+18,Comfortable Value Lodgings @ Union Sq SF 6,2676835,Resident Cubes,,Chinatown,37.79151448,-122.4068202,Private room,73,1,0,,,13,245,0,Exempt
42914824,Standard Twin Room with Shared Bathroom,309729224,Hayes Valley Inn,,Downtown/Civic Center,37.77793,-122.42265,Private room,81,1,171,04/02/2024,3.85,8,360,62,Exempt
32867573,Cute & Cozy Room - near BART Station,103884979,Rams,,South of Market,37.77628,-122.41507,Hotel room,91,1,64,15/12/2023,1.08,13,147,9,License not needed per OSTR
43987361,Jean's Private AirBnB studio,352419230,Jean,,Excelsior,37.71545,-122.43288,Private room,69,1,49,29/02/2024,1.11,2,155,15,2024-001724STR
36447750,Heart of Hayes Valley Flat,20153147,Dan,,Western Addition,37.7757,-122.4275,Entire home/apt,136,30,12,18/12/2022,0.25,2,272,0,
8.22584E+17,Cozy and Inviting Home/Live-work,2060012,Ari,,Western Addition,37.77230433,-122.4335012,Entire home/apt,490,45,0,,,30,186,0,
45975078,Modern 3 Bedroom In NOPA near USF,9836166,Kacie,,Western Addition,37.77860328,-122.4455591,Entire home/apt,500,3,4,28/12/2023,0.42,1,56,4,2023-002195STR
22694237,79aa SFSU/Parkside cozy studio w/private ba/entry,131200418,Lois,,Parkside,37.74263,-122.47576,Private room,54,30,6,02/12/2023,0.26,33,305,1,
9594336,Penthouse with private roof deck in South Park,44309667,Rebecca,,South of Market,37.78194,-122.39599,Private room,350,30,2,09/12/2017,0.03,1,88,0,
39507387,Alamo Square Victorian,339635,Colin,,Western Addition,37.77751,-122.43855,Private room,,30,0,,,1,0,0,
39470922,A Hotel Style Suite With Breakfast Included,115809271,Sarah,,Downtown/Civic Center,37.77989,-122.42286,Entire home/apt,,2,1,16/01/2020,0.02,3,0,0,License not needed per OSTR
33421281,Sonder Hayes Valley | Double Queen Room,219930816,Sonder (San Francisco),,Downtown/Civic Center,37.77437,-122.42164,Private room,200,2,48,14/01/2024,0.85,12,236,8,Exempt
8.61108E+17,Private Room with Kitchenette in SOMA SF,351395739,Tony,,South of Market,37.77334,-122.41337,Private room,44,30,1,26/10/2023,0.22,29,175,1,
35643330,"Grant Plaza Hotel, Deluxe Double-Double",265029065,Grant Plaza,,Financial District,37.79039,-122.40672,Hotel room,126,1,16,02/03/2024,0.32,4,283,2,License not needed per OSTR
52574214,1-bedroom SF Condo (30-day min). GG Bridge View,88404885,Waseem,,Russian Hill,37.79727,-122.42344,Entire home/apt,156,60,12,31/01/2024,0.45,1,147,7,
49634255,Beautiful contemporary studio,21635985,Cecile,,Russian Hill,37.80569688,-122.423759,Entire home/apt,130,30,6,07/02/2024,0.52,1,251,6,
1.02287E+18,Fancy Suite in Prime SF Location,546099040,Rebecca,,Russian Hill,37.80360727,-122.4236033,Entire home/apt,119,1,9,21/02/2024,2.78,1,199,9,2023-010756STR
20933318,Charming Guest Room in 1907 Cottage on Russian Hill,49425233,Annie,,Russian Hill,37.79722,-122.41789,Entire home/apt,205,3,297,01/03/2024,3.9,1,239,60,STR-0004263
6.69571E+17,Charming cozy private room - Moscone Convention,103884979,Rams,,South of Market,37.7764063,-122.4151619,Private room,93,1,51,05/03/2024,2.57,13,294,27,490135
44210941,"3 Bed ""HAYES VALLEY CENTRAL""",4152942,Clara,,Western Addition,37.77558092,-122.4279974,Entire home/apt,145,30,3,02/01/2024,0.08,6,77,1,
1.08788E+18,Comfortable Value Lodgings @ Union Sq SF 4,2676835,Resident Cubes,,Chinatown,37.79102618,-122.4067225,Private room,73,1,0,,,13,340,0,Exempt
60365,"Charming Victorian 3-Bdrms-2Ba, Parking, Location!",279544,Emilie,,Western Addition,37.77034,-122.43594,Entire home/apt,450,4,262,11/01/2024,1.63,2,190,14,STR-0003775
22705767,"Quiet, private sanctuary in great Mission 'hood!",9130610,Mark,,Mission,37.75897,-122.40933,Private room,,4,42,05/03/2020,0.56,2,0,0,STR-0004894
22375226,"Gorgeous, quiet Edwardian house in HEART of Castro",2253513,Scott,,Castro/Upper Market,37.76091,-122.43486,Entire home/apt,,3,73,30/01/2024,0.97,2,0,6,STR-0003316
22032438,Civic Center Vista,91333416,Jan,,Western Addition,37.77566,-122.43099,Entire home/apt,,30,8,15/08/2023,0.16,21,0,1,
27725598,Nob Hill Master Suite,1208533,Antonio,,Nob Hill,37.79225,-122.40995,Private room,135,2,95,26/01/2024,1.41,6,168,8,pending
749990,Remodeled Beauty in Haight Ashbury,2475480,Arthur,,Haight Ashbury,37.77174,-122.43831,Entire home/apt,225,365,74,05/02/2023,0.54,5,364,0,
7309811,Loft tucked away in the heart of SF,601627,Erik,,Western Addition,37.77186,-122.42405,Entire home/apt,148,30,49,30/11/2023,0.47,1,365,1,STR-0004340
25812986,Exec 3 bedrooms 2 baths cleaning every other week,8119896,Patricia,,Inner Richmond,37.78058,-122.45889,Entire home/apt,319,30,0,,,3,6,0,
49467562,Hayes Valley Classic Victorian Flat,6456352,Heidi,,Western Addition,37.77558,-122.42929,Entire home/apt,325,4,11,26/07/2023,0.33,1,42,5,pending
1098003,"Lovely, Unique Home Near Everything",6034365,Nico,,Western Addition,37.77025,-122.43231,Entire home/apt,750,2,123,02/01/2024,0.95,1,124,9,STR-0001313
23271162,Stratford Cozy Cool Queen,173206762,Stratford,,Downtown/Civic Center,37.78651,-122.40915,Private room,,1,5,20/05/2019,0.08,61,139,0,1083521
9.45055E+17,Garden Two+ Bedroom in NoPa (Entire Place),10441352,Meg,,Western Addition,37.77952,-122.43796,Entire home/apt,280,3,3,17/12/2023,0.43,2,22,3,2023-006765STR
9.39354E+17,Exquisite 4BR/3BA 2decks in NOPA,450802168,Isabella,,Western Addition,37.77362952,-122.4360242,Entire home/apt,550,30,0,,,10,269,0,
1.09679E+18,Studio In a Victorian Style Home,13832870,International,,Western Addition,37.7891,-122.42912,Entire home/apt,91,30,0,,,21,269,0,
41544912,ADA Superior Triple Room with Ensuite Bathroom,309731366,Washington Square Inn,,North Beach,37.80018,-122.40841,Private room,194,1,4,27/10/2021,0.11,6,285,0,Exempt
23269859,Stratford Cozy Cool Queen,173206762,Stratford,,Downtown/Civic Center,37.78777,-122.40677,Private room,,1,5,15/02/2020,0.07,61,139,0,1083521
41544572,Standard Queen Room with Ensuite Bathroom,309731366,Washington Square Inn,,North Beach,37.80023,-122.40965,Private room,163,1,24,03/12/2023,0.62,6,354,10,Exempt
51805390,*Sunny 2bd/2ba House *Walk to Presidio & GG Park*,23062308,Lola,,Presidio Heights,37.78419,-122.44939,Entire home/apt,550,1,16,19/08/2023,0.87,1,173,12,2022-006940STR
6.23975E+17,San Francisco Wharf Quarterly Stay,9354894,Ray,,South of Market,37.78918,-122.3888,Private room,88,31,1,07/08/2022,0.05,4,365,0,
52925646,Home in central location,428470015,Lake,,Western Addition,37.77364,-122.43202,Entire home/apt,300,30,17,17/06/2022,0.59,1,180,0,City registration pending
7.55781E+17,Donatello Studio,457152913,Todd,,Downtown/Civic Center,37.78882,-122.41161,Entire home/apt,168,2,8,29/09/2023,0.68,5,84,8,Exempt
7.14465E+17,Loving 1BD Unit,450765852,Ariel,,Western Addition,37.77335,-122.43632,Entire home/apt,249,30,0,,,11,365,0,
7.04554E+17,Stunning Mission Modern Flat,477314210,Kevin,,Mission,37.75085,-122.41199,Entire home/apt,150,30,1,30/12/2022,0.07,1,218,0,
1245838,Fantastic Family Home with Beautiful Backyard,6789170,Nicole,,Bernal Heights,37.73483,-122.41838,Entire home/apt,411,3,46,31/12/2023,0.36,1,188,2,STR-0000906
49248688,"LUXURY Home – HOT TUB, BIG VIEWS, BIG GYM, KIDS <3",358877,David,,Potrero Hill,37.75803,-122.3999,Entire home/apt,1020,30,0,,,1,281,0,
23271459,Stratford Cozy Cool Queen,173206762,Stratford,,Downtown/Civic Center,37.78745,-122.40714,Hotel room,,1,3,16/02/2020,0.05,61,139,0,1083521
6.67447E+17,Beautiful and Modern Victorian Home,12286027,Timothy,,Western Addition,37.7855414,-122.4357924,Entire home/apt,789,3,3,27/11/2023,0.35,1,165,3,2023-001903STR
44378665,Covenient Mission Studio - 1/2 Block from Bart,4430421,Landmark,,Mission,37.76549,-122.41706,Entire home/apt,79,30,0,,,149,177,0,
23147423,Designer Single Family Home,172003832,Sylvia,,Glen Park,37.73491,-122.43271,Entire home/apt,,30,1,03/07/2021,0.03,1,0,0,
23004935,Red Victorian - Private room -  Rainbow Room,117141107,Zarinah,,Haight Ashbury,37.76944,-122.44992,Hotel room,,1,69,08/03/2020,0.93,43,0,0,1003249
23271549,Stratford Cool Queen,173206762,Stratford,,Downtown/Civic Center,37.78816,-122.40697,Private room,,1,9,02/03/2020,0.12,61,139,0,1083521
1633933,"Sunny, Spacious and Modern Loft in Haight Ashbury!",484257,Jean-Michel,,Haight Ashbury,37.77206,-122.45181,Entire home/apt,250,365,97,06/08/2020,0.76,1,365,0,STR-0003491
1.04073E+18,Luxury 4 Bed Home w/ Gorgeous Large Deck & Parking,549813290,Nicole And Luke,,Bernal Heights,37.74639762,-122.4154909,Entire home/apt,239,31,0,,,1,90,0,
6.94144E+17,Lone Mountain Suite,303118342,Jesse,,Inner Richmond,37.78067781,-122.4556252,Entire home/apt,276,30,0,,,26,365,0,
1336798,4 BR Victorian-1 blk from Shopping!,7249327,Roger And Judith,,Haight Ashbury,37.76989,-122.44666,Entire home/apt,215,30,102,29/12/2023,0.79,1,274,1,
24723,"Guest Suite in PacHeights, Japantown & Fillmore St",100800,Cynthia,,Pacific Heights,37.78897,-122.43376,Entire home/apt,212,5,445,28/02/2024,2.63,2,130,39,Pending Application
14619235,Renovated 1930s Home with Lush Garden,5043788,Irene,,Noe Valley,37.74744,-122.43685,Entire home/apt,375,3,124,12/12/2023,1.45,1,31,11,STR-0001873
1.09284E+18,San Francisco Getaway ~ 4 Mi to Golden Gate Park,126644773,Evolve,,Outer Mission,37.73088,-122.4449,Entire home/apt,142,2,0,,,12,329,0,2024-001014STR
22869503,1a UCSF/GG PARK inner sunset private w/shared barm,131200418,Lois,,Inner Sunset,37.7627,-122.471,Private room,81,30,3,26/10/2018,0.04,33,179,0,
40590927,HERBERT Room with Private Bathroom,100390518,Herbert,,Downtown/Civic Center,37.7873,-122.40783,Private room,79,1,26,15/12/2023,0.8,19,77,13,License not needed per OSTR
48975571,Charming Studio Hotel w/ Hot Tub!,159391934,Kalven,,Downtown/Civic Center,37.78851065,-122.4097184,Private room,222,2,11,31/01/2024,0.63,11,14,7,Exempt
5933430,Beautiful 3 bedroom with garden and PARKING,1808969,Sean,,Bernal Heights,37.73525,-122.41725,Entire home/apt,600,3,27,14/08/2023,0.25,1,230,4,STR-0002374
1.08324E+18,A short place for Valentine's,520931919,Chris,,Western Addition,37.788,-122.42264,Private room,150,2,0,,,379,365,0,Exempt
23271772,Stratford Cozy Cool Queen,173206762,Stratford,,Downtown/Civic Center,37.78737,-122.40911,Private room,,1,5,27/02/2020,0.07,61,139,0,1083521
